Posisi,Perusahaan,Bidang,Jenjang,Jurusan,Requirement,Link
Staf Industri Garam,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Industri,"Menguasai Manajemen sistem kontrol dalam cost driven activity
Menguasai Manajemen reliability maintenance
Menguasai Manajemen problem solving dan root cause analysis
Menguasai Supply chain dan inventory turn over
Mampu menganalisa proses produksi
Memiliki pengetahuan risk management",https://rekrutmenbersama.fhcibumn.id/job/detail/2746CE0A0CA758C97E5EDA46D612B3AF
Staf Industri Garam,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Kimia,"Menguasai Manajemen sistem kontrol dalam cost driven activity
Menguasai Manajemen problem solving dan root cause analysis
Mampu menganalisa proses produksi
Menguasai Quality assurance management
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/498597630CD50AD17CAD74D3472C1E96
Staf Produksi Bahan Baku,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Sipil,"Menguasai Manajemen Proyek, Analisa Biaya (RAB)
Membuat Planing dan Schedule Administrasi Teknik
Mampu menghitung kuantitas bangunan
Menguasai software Builder Autocad, Sketchup, dan sejenisnya
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/AC5EBA982C8176CF582EDD2ACA7B1A11
Staf Produksi Bahan Baku,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Industri,"Memahami sistem pengelolaan administrasi dan kearsipan dengan rapi
Mampu mengoperasikan program komputer Ms. Office (Word, Excel, Power Point, Visio), grafis (Coreldraw)
Percaya diri, komunikatif, adaptif dan problem solver
Menguasai Manajemen problem solving dan root cause analysis
Menguasai Supply chain dan inventory turn over
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/F1B96370DB2F92FA1F27AE8FF0A90099
Staf Produksi Bahan Baku,PT RNI (Persero) - ID FOOD - PT Garam,Engineering and Maintenance,Sarjana S1 / Diploma IV,Teknik Kimia,"Menguasai Manajemen sistem kontrol dalam cost driven activity
Menguasai Manajemen problem solving dan root cause analysis
Mampu menganalisa proses produksi
Menguasai Quality assurance management
IPK minimal 3.00",https://rekrutmenbersama.fhcibumn.id/job/detail/F441EE9BAF81CA4480DCA852C6C5B897
Auditor,PT RNI (Persero) - ID FOOD - PT Perikanan Indonesia,Keuangan,Sarjana S1 / Diploma IV,"Teknik Industri
Perpajakan/Pajak
Manajemen
Ekonomi
Akuntansi","IPK minimal 3.00
Memahami dasar-dasar akuntansi dan pembuatan laporan audit maupun keuangan
Teliti, detail dan fokus pada target penyelesaian tugas
Diutamakan memiliki pengalaman sebagai auditor di bidang industri maupun Kantor Akuntan Publik (KAP)
Diutamakan memiliki sertifikat Brevet atau Certified Public Accountant (CPA).",https://rekrutmenbersama.fhcibumn.id/job/detail/EFAE7605BA9602203F64061DBBEA5208
Akuntansi Keuangan,PT RNI (Persero) - ID FOOD - PT Perikanan Indonesia,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,"IPK minimal 3,00
Diutamakan memiliki pengalaman 1 tahun (fresh graduate dipersilahkan) dan memiliki sertifikat brevet dan CAP
Memiliki kemampuan tentang Standar Akuntansi Keuangan, jurnal Akuntansi, memahami prinsip – prinsip Akuntansi, Keuangan, Perpajakan, data statistik akuntansi, mengolah data di Microsoft office, multitasking, teliti, jujur, dan memiliki kemampuan berhitung yang baik.",https://rekrutmenbersama.fhcibumn.id/job/detail/E46FF0C0546BDA7450778746C4BB2ED9
Programmer / Mobile/ Apps Developer,PT RNI (Persero) - ID FOOD - PT Perikanan Indonesia,Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Komputer
Teknik Informatika
Sistem Teknologi Informasi
Manajemen Sistem Informasi
Manajemen Informatika
Ilmu Komputer","IPK Minimal 2,75
Diutamakan memiliki pengalaman minimal 1 Tahun dibidang programming, pengembangan aplikasi secara agile dan/atau Waterfall, memahami bahasa pemrograman HTML5, Java, Swift, Kotlin, atau C/C# (menguasai lebih banyak bahasa merupakan poin lebih), pengembangan aplikasi dalam skala enterprise
Lebih diutamakan memiliki kemampuan bahasa Inggris (reading, listening) yang baik",https://rekrutmenbersama.fhcibumn.id/job/detail/1A477AC6B8084DA3B29FE8315410124D
Legal,PT RNI (Persero) - ID FOOD - PT Perikanan Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"IPK minimal 3,00
Memiliki kemampuan yang baik mengenai : legal drafting, menganalisa dokumen – dokumen hukum, pengetahuan hukum yang berlaku, analisa hukum, teliti dan tepat, komunikasi, dan memiliki networking yang luas
Diutamakan mempunyai sertifikat PKPA",https://rekrutmenbersama.fhcibumn.id/job/detail/AF02A19565EFB67935BFC2FA5BF74063
Staf Pabrikasi,PT RNI (Persero) - ID FOOD - PT PG Rajawali I,Engineering and Maintenance,Sarjana S1 / Diploma IV,"Teknologi Industri Pertanian
Teknologi Hasil Pertanian
Teknik Kimia
Teknik Industri
Kimia",Lebih disukai memiliki pengalaman di Industri Gula,https://rekrutmenbersama.fhcibumn.id/job/detail/E81C9CF1050F1DA625E52A4625DBF7A6
Staf Pengembangan SDM,PT RNI (Persero) - ID FOOD - PT PG Rajawali II,SDM / HC,Sarjana S1 / Diploma IV,"Psikologi
Management SDM","Menguasai Komputer
Memahami Konsep Pengembangan Karyawan
Memahami alur proses rekrutmen dan seleksi
Memiliki pengetahuan untuk penyusunan job analysis, job description dan job spesification
Memiliki pengetahuan tentang penyusunan pola pengembangan organisasi dan pola training",https://rekrutmenbersama.fhcibumn.id/job/detail/80C77E52B30E6AEAAEB376C53E029636
Staf Laboratorium,PT RNI (Persero) - ID FOOD - PT PG Rajawali II,Analyst Research,Sarjana S1 / Diploma IV,"Proteksi Tanaman
Mikrobiologi Pertanian
Biologi
Biokimia
Agroteknologi","Menguasai Komputer
Memiliki pengetahuan tentang Kultur Jaringan
Memiliki pengetahuan tentang Analisa Kimia bidang pertanian",https://rekrutmenbersama.fhcibumn.id/job/detail/8883263F0130A0557AE4E562BE283C6C
Staf Pemuliaan Tanaman,PT RNI (Persero) - ID FOOD - PT PG Rajawali II,Analyst Research,Sarjana S1 / Diploma IV,"Rekayasa Pertanian
Rekayasa Hayati
Proteksi Tanaman
Pemuliaan Tanaman
Mikrobiologi Pertanian
Ilmu Tanah
Agroteknologi","Menguasai Komputer
Memiliki pengetahuan tentang Bioteknologi secara umum",https://rekrutmenbersama.fhcibumn.id/job/detail/A5F96B6F6226F1C49BC374E31CBE6581
Marketing LD,PT RNI (Persero) - ID FOOD - PT Rajawali Nusindo,Bisnis Niaga / Pemasaran,Diploma III,Analis Kesehatan,"Fresh Graduate
Lulusan kesehatan diutamakan
Menguasai salesmanship
Memiliki Komunikasi yang baik
Memiliki skill presentation yang baik
Mampu mengoperasikan komputer dsb",https://rekrutmenbersama.fhcibumn.id/job/detail/A09575783B83576614B1FB4886A8B8CA
Teknisi,PT RNI (Persero) - ID FOOD - PT Rajawali Nusindo,Engineering and Maintenance,Diploma III,Teknik Eletromedik,"Fresh Graduate / Diutamakan Pengalaman
Memiliki STRA aktif
Memiliki keterampilan dalam service alat",https://rekrutmenbersama.fhcibumn.id/job/detail/4BAA41C4BD62FFB0C38F950DDECB1D8A
Sales Health Care,PT RNI (Persero) - ID FOOD - PT Rajawali Nusindo,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,"Fresh Graduate
Lulusan kesehatan diutamakan
Menguasai salesmanship
Memiliki Komunikasi yang baik
Memiliki skill presentation yang baik
Mampu mengoperasikan komputer dsb",https://rekrutmenbersama.fhcibumn.id/job/detail/6AD196761020AED1B1CBEEE3AC65FE2B
Sales Consumer,PT RNI (Persero) - ID FOOD - PT Rajawali Nusindo,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,"Fresh Graduate
Menguasai salesmanship
Memiliki Komunikasi yang baik
Memiliki skill presentation yang baik
Mampu mengoperasikan komputer dsb",https://rekrutmenbersama.fhcibumn.id/job/detail/FB4370BB521ABEE551539194452D2840
Marketing Institusi,PT RNI (Persero) - ID FOOD - PT Rajawali Nusindo,Bisnis Niaga / Pemasaran,Diploma III,Semua Jurusan,"Fresh Graduate
Menguasai salesmanship
Memiliki Komunikasi yang baik
Memiliki skill presentation yang baik
Mampu mengoperasikan komputer dsb",https://rekrutmenbersama.fhcibumn.id/job/detail/DD1E96D420508C10891F685DE83AC3AF
Sekretaris Perusahaan,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Menguasai bidang Hukum
Memiliki Sertifikasi Sekretaris",https://rekrutmenbersama.fhcibumn.id/job/detail/2A63397BC0E1CD3F7001D3233115E8E6
Kepala Bagian SPI,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Menguasai bidang Hukum
Memiliki Sertifikasi Auditor KIA",https://rekrutmenbersama.fhcibumn.id/job/detail/B8114A03BD81A8E6F9F54CD02FBE8D2A
Kepala Urusan Aset,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Menguasai bidang Hukum
Memiliki Sertifikasi Aset",https://rekrutmenbersama.fhcibumn.id/job/detail/BBE58AE2007AC48A41E000C3BCA67FAF
Masinis Kepala PKS,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Sistem Management and Safety,Sarjana S1 / Diploma IV,Teknik Mesin,"Menguasai bidang Teknik
Memiliki Sertifikasi Ahli K3",https://rekrutmenbersama.fhcibumn.id/job/detail/E42C938137880FA48B8C77B126B6E23A
Staf Aset,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum","Menguasai bidang Hukum
Memiliki Sertifikasi Aset",https://rekrutmenbersama.fhcibumn.id/job/detail/4EF9BFF3BD347D7E1C027E5682BFCCC1
Staf Tanaman,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Analyst Research,Sarjana S1 / Diploma IV,Agronomi,"Menguasai bidang Tanaman Keras
Memiliki Sertifikasi Pendidikan Perkebunan Dasar",https://rekrutmenbersama.fhcibumn.id/job/detail/67F1E93138D3092371BF4A3B0E61110A
Staf Legal,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum",Menguasai bidang Hukum,https://rekrutmenbersama.fhcibumn.id/job/detail/FF078136513856A13F63B31DF03DE081
Staf System,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Hukum",Menguasai bidang Hukum,https://rekrutmenbersama.fhcibumn.id/job/detail/14D208BBD35D4556836FEEADF52D67B0
Staf SPI,PT RNI (Persero) - ID FOOD - PT Mitra Ogan,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,Menguasai bidang Hukum,https://rekrutmenbersama.fhcibumn.id/job/detail/8DB994AE98351AADEB6370D9EE0D8CED
Akuntansi,PT RNI (Persero) - ID FOOD - PT Rajawali Citramass,Keuangan,Diploma III,"Perpajakan/Pajak
Akuntansi","Memahami pelaporan Akuntansi yg berlaku umum
Memahami perpajakan dan UU Perpajakan",https://rekrutmenbersama.fhcibumn.id/job/detail/32D6AE389A6F9A7145C7F3DC92ECDDDC
Akuntansi,PT RNI (Persero) - ID FOOD - PT Rajawali Citramass,Keuangan,Diploma III,"Perpajakan/Pajak
Akuntansi","Memahami pelaporan Akuntansi yg berlaku umum
Memahami perpajakan dan UU Perpajakan",https://rekrutmenbersama.fhcibumn.id/job/detail/930C9CE5B4BEBB57A60736EDC83CCF5F
STAF SINDER KEBUN WILAYAH (SKW),PT RNI (Persero) - ID FOOD - PT PG Candi Baru,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"TEKNIK PERTANIAN
MEKANISASI PERTANIAN
Ilmu Tanah
HAMA PENYAKIT PERTANIAN
BUDIDAYA PERTANIAN
Agroteknologi
Agronomi
Agribisnis","FRESHGRADUATE/BERPENGALAMAN MAX. 3 TAHUN
IPK MIN. 3.00
MAMPU BEKERJA DALAM TEKANAN
KOMUNIKATIF
PENGALAMAN ORGANISASI
MEMILIKI SIM C",https://rekrutmenbersama.fhcibumn.id/job/detail/2F77D7098E99134ABE3D330F9859D083
STAF UMUM,PT RNI (Persero) - ID FOOD - PT PG Candi Baru,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum,"FRESHGRADUATE/BERPENGALAMAN MAX. 3 TAHUN
IPK MIN. 3.00
MEMILIKI SIM A DAN C
MAMPU BEKERJA DALAM TIM MAUPUN INDIVIDU
KOMUNIKATIF
MENGUASAI MS. OFFICE
NILAI TAMBAH APABILA MEMILIKI SERTIFIKASI PROFESI / PERNAH MAGANG ATAUPUN BEKERJA DI KANTOR ADVOKAT",https://rekrutmenbersama.fhcibumn.id/job/detail/CBB04AB5D211AEA912D17E007324C9D0
Staf Teknologi Informasi (TI),PT RNI (Persero) - ID FOOD - PT Mitra Kerinci,Digitalisasi and IT,Sarjana S1 / Diploma IV,Ilmu Komputer,"Freshgraduate/Berpengalaman Max. 3 Tahun
IPK MIN. 3.00
Menerima, memprioritaskan dan menyelesaikan permintaan bantuan IT
Membeli hardware IT, software dan hal-hal lain yang berhubungan dengan hal tersebut.
Instalasi, perawatan dan penyediaan dukungan harian baik untuk hardware & software Windows & Macintosh, peralatan termasuk printer, scanner, hard-drives external, dll
Korespondensi dengan penyedia jasa eksternal termasuk Internet Service Provider, penyedia jasa Email, hardware, dan software supplier, dll
Mengatur penawaran harga barang dan tanda terima dengan supplier untuk kebutuhan yang berhubungan dengan IT
Menyediakan data / informasi yang dibutuhkan untuk pembuatan laporan department regular",https://rekrutmenbersama.fhcibumn.id/job/detail/4BB9B62B1A562F8CCBD7089629F34CE0
Asisten Tanaman,PT RNI (Persero) - ID FOOD - PT Mitra Kerinci,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Pertanian,"Freshgraduate/Berpengalaman Max. 3 Tahun
IPK MIN. 3.00
Bertanggung jawab untuk melakukan monitoring seluruh aktivitas operasional kebun setiap harinya sesuai dengan standar kultur teknis dalam SOP
Mengawasi dan memastikan target pekerjaan operasional kebun telah tercapai sesuai dengan rencana kerja (harian,mingguan,bulanan)
Memastikan hasil produksi sesuai dengan target yang telah ditentukan
Mengawasi kegiatan operasional kebun dan merealisasikan budget sesuai dengan rencana
Mengatur dan memastikan kegiatan operasional berjalan sesuai dengan standar kultur teknis SOP
Membina anggota yang ada di kebun agar mereka menjadi karyawan yang cakap dan terampi
Melaporkan seluruh detail pekerjaan kepada manajer kebun",https://rekrutmenbersama.fhcibumn.id/job/detail/29528024D3D235641F674BEFDD18E11D
Supervisor Marketing / Sales,PT RNI (Persero) - ID FOOD - PT Rajawali Tanjungsari Enjiniring,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D3/S1
Pengalaman relevan minimal 2 tahun untuk posisi Supervisor Marketing & Sales
Memiliki komunikasi yang baik, tanggap, cekatan, dan dapat bekerja di dalam tekanan
Lebih disukai pengalaman di industri Plastik",https://rekrutmenbersama.fhcibumn.id/job/detail/A909B25AFD5D5D4DF1EE44852FF1EA4A
Pelaksana Marketing / Sales,PT RNI (Persero) - ID FOOD - PT Rajawali Tanjungsari Enjiniring,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Semua Jurusan,"Pendidikan minimal D3/S1
Pengalaman relevan minimal 2 tahun untuk posisi Marketing & Sales
Memiliki komunikasi yang baik, tanggap, cekatan, dan dapat bekerja di dalam tekanan
Lebih disukai pengalaman di industri Plastik",https://rekrutmenbersama.fhcibumn.id/job/detail/CE72A0E8B08C22852F45247AFF20E157
Staf IT,PT RNI (Persero) - ID FOOD - PT GIEB Indonesia,Digitalisasi and IT,Sarjana S1 / Diploma IV,Teknik Informatika,"IPK Minimal 2,75
Diutamakan memiliki pengalaman minimal 1 tahun dibidang programming, menguasai dalam instaling database dan kelancaran program-program komputer serta perawatan perangkat hardware.",https://rekrutmenbersama.fhcibumn.id/job/detail/6F8BE8D68B5D23D631C23BF4A9EE1E4E
General Operasional,PT RNI (Persero) - ID FOOD - PT Laras Astra Kartika,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Pertanian,Menguasai Proses Bisnis di Bidang Perkebunan Kelapa sawit dan Pengelolaan Pabrik Kelapa Sawit,https://rekrutmenbersama.fhcibumn.id/job/detail/C4AB1760B5E4583C76F1DCE27C8AE69C
Masinis Kepala,PT RNI (Persero) - ID FOOD - PT Laras Astra Kartika,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Industri,Munguasai Pengelolaan Pabrik Kelapa Sawit,https://rekrutmenbersama.fhcibumn.id/job/detail/EA66C8A89D1E977B210F64FF450EE7E7
Assisten Kepala,PT RNI (Persero) - ID FOOD - PT Laras Astra Kartika,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Pertanian,Menguasai Teknik Budidaya Kelapa Sawit,https://rekrutmenbersama.fhcibumn.id/job/detail/39FC00CFDD6DFB056745D275FBC85B9D
Admin Komersil,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Keuangan,Sarjana S1 / Diploma IV,"Manajemen
Akuntansi
Administrasi","Mengerti Laporan Keuangan
Memahami peraturan pajak sesuai dengan ketentuan yang berlaku
Paham dengan alur penerbitan Faktur sampai dengan administrasi
Tertib administrasi",https://rekrutmenbersama.fhcibumn.id/job/detail/0CB362DB2EBA22BF59FC41774CE55F02
Apoteker,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Apoteker,"Memiliki Ijazah Profesi Apoteker
Memiliki STRA & Sertifikasi Kompentensi yang masih berlaku
Tidak sedang menjadi Apoteker Penanggung Jawab di Fasilitas/Instansi lain
Memiliki pengetahuan dan kemampuan terkait Cara Distribusi Obat yang Baik (CDOB)",https://rekrutmenbersama.fhcibumn.id/job/detail/5DE2B8016DC92FD92916137B8600E74B
Account Receivable (AR),PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Manajemen
Ilmu Komunikasi
Ilmu Hukum
Akuntansi","Customer Focus
Teamwork & Cooperation
Accivement Orientation
Flexsibility
Product Knowladge
Communication
Customer Handling
Computer",https://rekrutmenbersama.fhcibumn.id/job/detail/5D2C241C1729E30899973FE8AC9A67F1
Kasir,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Treasury,Diploma III,"Manajemen Keuangan
Akuntansi","Mengerti Laporan Keuangan
Memahami peraturan pajak sesuai dengan ketentuan yang berlaku
Tertib administrasi",https://rekrutmenbersama.fhcibumn.id/job/detail/C30D15A0528E50C533F7FE898AE13A9A
Legal Kontrak Litigasi,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,Ilmu Hukum Pidana dan Perdata,"Menangani permasalahan Hukum Baik Pidana maupun perdata ditingkat kepolisian, kejaksaan , pengadilan
Drafting dan Review Perjanjian Kerjasama di Perusahaan
Memahami Ketentuan Peraturan Perundang-undangan
Pernah Mengikuti Program Magang / Bekerja di Kantor Advokat adalah nilai Tambah",https://rekrutmenbersama.fhcibumn.id/job/detail/37BA4E2A34909A31B2A6C0CBDE01A01F
Salesman Bahan Pokok,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Marketing
Manajemen","Customer Focus
Teamwork & Cooperation
Accivement Orientation
Flexsibility
Product Knowladge
Salesmanship
Communication
Customer Handling
Computer",https://rekrutmenbersama.fhcibumn.id/job/detail/43F2CAC2A9BAFC426769E90723F49D96
Salesman Farmasi,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Marketing
Manajemen","Customer Focus
Teamwork & Cooperation
Accivement Orientation
Flexsibility
Product Knowladge
Salesmanship
Communication
Customer Handling
Computer
Memahami terkait Farmasi
Mempunyai link dengan apoteker lain",https://rekrutmenbersama.fhcibumn.id/job/detail/FB29A77345A72CF7AF0A067D16B180DD
Salesman Saprotan,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,"Marketing
Manajemen","Customer Focus
Teamwork & Cooperation
Accivement Orientation
Flexsibility
Product Knowladge
Salesmanship
Communication
Customer Handling
Computer",https://rekrutmenbersama.fhcibumn.id/job/detail/62238ED179352A40C4B763EAF11C5217
Asesor,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,SDM / HC,S2-Pasca Sarjana,Psikologi,"Mempunyai lisensi di Lembaga Sertifikasi Profesi
Familiar dengan alat peraga asesmen",https://rekrutmenbersama.fhcibumn.id/job/detail/B3CCA566064BB217753FA01F29F326D0
Risk Officer,PT Biro Klasifikasi Indonesia (Persero),Risk Management,Sarjana S1 / Diploma IV,"Sarjana Teknik
Manajemen","Usia maksimal 27 tahun
Diutamakan memiliki pengalaman minimal 1 tahun bidang GRC dan certified Risk Management, GRC, Governance, Compliance
Dapat menggunakan aplikasi komputer dengan baik
Senang bekerja dengan melakukan analisa
Memiliki inisiatif dan problem solve terkait pekerjaan
Mampu berbahasa Inggris dengan baik
Memiliki integritas yang tinggi, kreatif, komunikasi baik
Memiliki keinginan terus belajar, mampu bekerja dalam tim dan di bawah tekanan",https://rekrutmenbersama.fhcibumn.id/job/detail/509838BD0C83CE947DD04F68A95FF21E
Corporate Communication Officer,PT Biro Klasifikasi Indonesia (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Ilmu Komunikasi,"Usia maksimal 27 tahun, berpenampilan menarik
Diutamakan memiliki pengalaman minimal 1 tahun bidang media komunikasi
Memiliki kemampuan public speaking, dan di bidang press release, publication
Dapat menggunakan aplikasi komputer dengan baik
Memiliki inisiatif dan problem solve terkait pekerjaan
Mampu berbahasa Inggris dengan baik
Memiliki integritas yang tinggi, kreatif, komunikasi baik
Memiliki keinginan terus belajar, mampu bekerja dalam tim dan di bawah tekanan",https://rekrutmenbersama.fhcibumn.id/job/detail/DE58AB1B1E2FD2958B46FF07C7EE476C
IT System Development Specialist,PT Biro Klasifikasi Indonesia (Persero) - PT SUCOFINDO,Developer Information Technology,Sarjana S1 / Diploma IV,"Teknik Informatika
Teknik Elektro
Fisika","Memiliki pemahaman yang baik dan terbiasa bekerja dengan Micro Controller (ESP, Arduino, Lora)
Memiliki pemahaman yang baik terkait komponen listrik
Memiliki kemampuan komunikasi, interpersonal dan kolaborasi yang baik
Memiliki kemauan untuk belajar dalam menemukan solusi terbaik terkait teknologi",https://rekrutmenbersama.fhcibumn.id/job/detail/DA4A6E562AC1B179F679016597885C21
Sustainability Specialist,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Analyst Research,Sarjana S1 / Diploma IV,"Sarjana Teknik
Sains
Manajemen","GPA minimal 3,0
Minimal pengalaman 1 tahun di bidang sustainability diutamakan pengalaman terkait project advisory sustainability
Lancar berbahasa Inggris, baik lisan maupun tulisan
Antusias mengikuti perkembangan isu-isu global di bidang climate change, sustainability & carbon
Memiliki Learning Agility dan Global Business Savvy
Diutamakan memiliki sertifikasi Certified Sustainability Report Specialist (CSRS)/ Certified Sustainability Report Assuror (CSRA)/ Certified Sustainability Assurance Practitioner (CSAP)",https://rekrutmenbersama.fhcibumn.id/job/detail/E80A42041E35159737D59AD22B91B9DC
Data Science,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Digitalisasi and IT,Sarjana S1 / Diploma IV,"Teknik Informatika
Statistik
Sistem Teknologi Informasi","GPA minimal 3,0
Menguasai software Phyton dan tableau
Diutamakan memahami Big Data Analytic, Internet of Things (IoT), data studio dll",https://rekrutmenbersama.fhcibumn.id/job/detail/5596BDD4A923250933EB85B1AA5061B2
Verifikator,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,"Teknik Mesin
Teknik Kimia
Teknik Informatika
Teknik Industri
Teknik Elektro","GPA minimal 3,25
Fresh graduation are welcome, diutamakan berpengalaman kerja min 1 thn
Lancar berbahasa Inggris, baik lisan maupun tulisan
Mampu bekerjasama dalam tim
Mampu menggunakan MS Office (Word,Exel,Powerpoint)
Dinamis, Kreatif, Ramah, Sopan, berintegritas, dan berinisiatif",https://rekrutmenbersama.fhcibumn.id/job/detail/6D4C65A2B2CAB0CD3DFC879EB7F85A17
Land Transportation Jr Officer,PT Semen Indonesia (Persero) Tbk,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Teknik Transportasi,"Menguasai Supply Chain
Menguasai MS Office",https://rekrutmenbersama.fhcibumn.id/job/detail/10F0FBEBA3DC029FA662613DD80C27E6
Procurement Jr Officer,PT Semen Indonesia (Persero) Tbk,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Teknik Industri,"Menguasai MS Office
Bahasa Inggris aktif",https://rekrutmenbersama.fhcibumn.id/job/detail/7BE616DB472276D7A60EE55B59710DE9
Tax Junior Officer,PT Semen Indonesia (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,Akuntansi,Requirement: Menguasai dasar-dasar pelaporan pajak serta memiliki sertifikasi Brevet A dan B,https://rekrutmenbersama.fhcibumn.id/job/detail/535305913A86A7A2DFDD8F0660E9552C
Material QA Junior Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Kimia,Requirement: Menguasai Dasar-dasar Operasi Teknik Kimia/ Proses,https://rekrutmenbersama.fhcibumn.id/job/detail/80A5BF9009DCC2FAD4FA3AE831C1DCE4
Product QA Junior Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Kimia,Requirement: Menguasai Dasar-dasar Operasi Teknik Kimia/ Proses,https://rekrutmenbersama.fhcibumn.id/job/detail/00F1B7541EE2292011B045FB07C0B333
Process Evaluation Jr Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Kimia,"Menguasai MS Office
Bahasa Inggris aktif
Menguasai Dasar-dasar Operasi Teknik Kimia/ Proses",https://rekrutmenbersama.fhcibumn.id/job/detail/ADD2B378A77BF872787CB9D72EAA4297
Electrical Inspection Jr Engineer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,Teknik Elektro,"Menguasai MS Office
Bahasa Inggris aktif
Menguasai Dasar-dasar Operasi Teknik Kimia/ Proses",https://rekrutmenbersama.fhcibumn.id/job/detail/B4C3DB42A66C7B87AD275F59230522CF
Retail Sales RTM Jr Officer,PT Semen Indonesia (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Teknik Industri,"Self Driven
Kreatif, Inovatif
Menguasai Ms Office (intermediate)",https://rekrutmenbersama.fhcibumn.id/job/detail/F7975C168A21AE6E4E0538726BB5FD2F
